"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20"
"1","toimi","vuodesta","toimi","emil","myöhemmin","sai","grotenfelt","carl","filosofian","nimitettiin","nordström","määrättiin","eläkkeelle","tohtoriksi","elfving","suomen","brummer","vuoden","suomen","sai"
"2","suomen","toimi","johtajana","karl","vuotta","kuoli","professoriksi","syntyi","valmistui","professorin","nybergh","apulaiseksi","vuotta","toimi","suomen","venäjän","opettajaksi","suomen","helsingin","ylennettiin"
"3","vuoteen","helsingin","vuoteen","suomen","ylioppilastutkinnon","vuoden","nimitettiin","kandidaatin","maisteriksi","vuotiaana","stenij","kirkkoherran","suomen","lähti","sai","osallistui","eron","johtajaksi","sievers","arvon"
"4","puheenjohtajana","arthur","fazer","kolmen","yliopistossa","arvon","palmén","professori","ylioppilaaksi","bredenberg","suomeen","tuli","toimi","väitteli","vuotiaana","erosi","siirtyi","siirtyi","toimi","siirrettiin"
"5","lehtorina","turun","useita","kutsuttiin","ajan","kirjoittautui","vuonna","tutkinnon","kandidaatiksi","felix","kaupungin","saksaan","kolme","dosentiksi","alma","tunzelman","venäjän","mukana","alma","myöhemmin"
"6","ensin","aleksanterin","oopperan","brummer","matkusti","abn","ylimääräiseksi","tuli","historian","sai","tuli","vihittiin","muutti","valmistui","läänin","vuoksi","opiston","vuonna","söderhjelm","vuotta"
"7","filosofian","helsingissä","suomalaisen","magnus","toimi","forssa","siirtyi","sai","tuli","perheen","jatkoi","papiksi","jäi","helsingin","suomalaisen","sieversin","elfving","saattoi","ylilääkärinä","opettajan"
"8","sihteerinä","ylioppilaaksi","suomen","sukunsa","vuodesta","palmén","jätti","helsingin","vuoden","reinhold","helsingin","toimi","helsingin","ensimmäiseksi","vaasan","yleisen","helsinkiin","saman","toimittaja","antiikin"
"9","hallituksen","avioiduttuaan","nimitettiin","vuoden","kandidaatintutkinnon","valtioneuvoksen","tehtävät","vasta","fysiikan","willebrandin","leidenissä","carlsson","siirryttyään","lääketieteen","valittiin","koulutusta","vuonna","aikaa","sairaalan","historian"
"10","valtiopäivillä","johtajaksi","tullut","elfving","ulkomaille","vuotiaana","osastossa","lääketieteen","yliopiston","istui","senaatista","virkaa","teki","nimitettiin","kansanrunoudentutkimuksen","uudelleen","määrättiin","joksikin","karkotettiin","suomen"
"11","vuodesta","opiskeli","teki","wichmann","willebrand","vasta","valitsi","kokonaan","emma","jäi","vuodet","wilhelm","johtajana","sai","uuden","ylimääräisenä","suomen","ikäisenä","maasta","varatuomarin"
"12","sievers","keisarillisessa","elfving","yhdysvalloissa","aloitti","aladin","valtion","bonsdorff","irene","eläkkeelle","saksassa","ensimmäinen","wichmann","vuoden","jatkoi","nimitettiin","sai","yliopistossa","ruotsinkielisten","sapööripataljoonaan"
"13","edustajana","alkaen","luvulla","kunniajäseneksi","suoritettuaan","august","kuolemaansa","fauna","toimi","virkaansa","opiskeli","uuden","ennen","opiskelemaan","karl","sai","nimitettiin","kuoli","työskenteli","luvun"
"14","kandidaatiksi","achté","opiskeli","päätoimittaja","toimittajana","hoiti","suomeen","flora","hertzberg","vuoden","ulkomailla","hurmerinta","kaupungin","lisensiaatiksi","tuli","kirkkoherran","armeijan","tuli","finska","kaksi"
"15","kuolemaansa","lorenz","axel","kappalaisen","vastaavana","arthur","jäseneksi","pro","rafael","rovaniemen","oikeuksien","syksyllä","väinö","frosterus","dosentiksi","myöhemmin","jalkaväkirykmentin","edelleen","finlands","ensin"
"16","valittiin","hoiti","heikel","syntyi","opettajana","tehtävää","hovioikeuden","societas","suomalainen","sandberg","ranskassa","sveitsiin","johtokuntaan","svenska","söderhjelmistä","kokkolan","tehtävästä","rindell","vuodesta","filosofian"
"17","jäsenenä","sundwall","olai","poikana","suomea","lopulla","viipurin","ylimääräinen","teoreettisen","kuoltua","sittemmin","pitkä","pysyi","valmistuttuaan","kuopion","wrede","matkusti","huomattiin","avioliiton","nimityksen"
"18","nikolain","poikana","kuolemaansa","aatelisarvoon","pääsi","samana","asessoriksi","yliopiston","alusta","syntyi","virkaa","kuolemaansa","turkuun","jäsenenä","toimi","jäi","vuoden","siirrettiin","solmi","olleen"
"19","åbo","yliopistossa","perustamisesta","aatelissukuna","ylioppilaaksi","kuluttua","saman","filosofian","opettaja","willebrand","oikeus","eksegetiikan","krohn","ylioppilaaksi","ruotsalaisen","toimi","muutti","harrasti","lähtien","sijaisena"
"20","kuului","wilhelm","alkaen","gustav","elfving","vuotias","seuraavana","emma","koulujen","valittiin","sijaiskanslerina","sörnäisten","nimitettiin","seuraavana","lähes","virastaan","ensimmäisen","tyttären","luvun","tehtävässä"
